teryt;gmina;powiat;wojewodztwo;numer;mieszkancy;wyborcy;pakiety;siedziba;miejscowosc;ulica;nr_posesji;nr_lokalu;kod_pocztowy;poczta;typ_obwodu;dla_niepelnosprawnych;typ_obszaru;pelna_siedziba;opis_granic
246901;m. Katowice;Katowice;śląskie;19;2709;2289;1;Zespół Szkolno-Przedszkolny nr 21;Katowice;ul. gen. Zygmunta Waltera Jankego;160;;40-613;Katowice;stały;Tak;miasto;Zespół Szkolno-Przedszkolny nr 21, ul. gen. Zygmunta Waltera Jankego 160, 40-613 Katowice;ul.: Armii Krajowej od nr 81 do nr 189 nieparzyste, Jana Baranowicza, Aleksandra Baumgardtena, Bażantów, Chmielna, Chocimska, Gołębia, Głuszców, gen. Zygmunta Waltera Jankego od nr 111 do nr 179 nieparzyste, Konstantego Kempy, Karola Kornasa, Kostki Napierskiego od nr 33 do końca, Policyjna od nr 1 do nr 5 nieparzyste, nr 6, Arkadiusza Puchały, Albina Siekierskiego, Skotnica, Sokola, Spółdzielczości od nr 34 do końca parzyste, od nr 27 do końca nieparzyste, Alfreda Szklarskiego, ks. Jana Szurleja, Świerkowa, Wojska Polskiego od nr 24 do końca parzyste, od nr 21 do końca nieparzyste, Wronia, Wrzosowa, Załogowa, Zdrowa.
246901;m. Katowice;Katowice;śląskie;20;1917;1549;2;Zespół Szkolno-Przedszkolny nr 21;Katowice;ul. gen. Zygmunta Waltera Jankego;160;;40-613;Katowice;stały;Tak;miasto;Zespół Szkolno-Przedszkolny nr 21, ul. gen. Zygmunta Waltera Jankego 160, 40-613 Katowice;ul.: Głogowska od nr 34 do końca, gen. Zygmunta Waltera Jankego od nr 74 do nr 120 parzyste, Jastrzębia, Plac Filipa Limańskiego, Marmurowa, Pusta, Szewska, Targowa, Wilcza, Janusza A. Zajdla, Zbożowa.
246901;m. Katowice;Katowice;śląskie;21;2162;1763;5;Zespół Szkół Ogólnokształcących nr 2;Katowice;ul. gen. Zygmunta Waltera Jankego;65;;40-615;Katowice;stały;Nie;miasto;Zespół Szkół Ogólnokształcących nr 2, ul. gen. Zygmunta Waltera Jankego 65, 40-615 Katowice;ul.: Fabryczna, Glebowa, Grzybowa, Helska, Jagodowa, gen. Zygmunta Waltera Jankego od nr 8 do nr 72 parzyste, od nr 15 do nr 59 nieparzyste, Jarzębinowa, Jaśminowa, Kątowa, Kolejowa od nr 55 do końca nieparzyste, Hugona Kołłątaja, Stanisława Konarskiego, Tadeusza Kościuszki od nr 192 do nr 326 parzyste, Lawendowa, Lechicka, Legnicka, Leśna, Liliowa, Macierzanki, Nad Jarem, Odrodzenia, Olszynowa, Podlaska, Bolesława Prusa, Pszenna, Rumiankowa, Sadowa, Sarmacka, Stalowa, Templariuszy, Wapienna, Wesoła, Zaułek, Zwrotna, Żużlowa.
246901;m. Katowice;Katowice;śląskie;22;2221;1834;2;Zespół Szkół Ogólnokształcących nr 2;Katowice;ul. Spółdzielczości;21;;40-642;Katowice;stały;Nie;miasto;Zespół Szkół Ogólnokształcących nr 2, ul. Spółdzielczości 21, 40-642 Katowice;ul.: Borowa, Braci Wiechułów, gen. Zygmunta Waltera Jankego od nr 63 do nr 107 nieparzyste, Jaworowa, Jaworowa Tylna, Juliusza Kossaka, Kryniczna, Krótka, Łowiecka, Poprzeczna, Marcina Radockiego od nr 1 do nr 35 nieparzyste, Spokojna, Spółdzielczości od nr 2 do nr 32 parzyste, od nr 1 do nr 21 nieparzyste, Wisławy Szymborskiej, Tyska, Stanisława Worcella, Zakątek, Zdrojowa, Ziołowa.
246901;m. Katowice;Katowice;śląskie;23;2229;1765;0;Zespół Szkolno-Przedszkolny nr 22;Katowice;ul. Stanisława Łętowskiego;18;;40-648;Katowice;stały;Nie;miasto;Zespół Szkolno-Przedszkolny nr 22, ul. Stanisława Łętowskiego 18, 40-648 Katowice;ul.: Stanisława Łętowskiego, Perkozów, Pustułek, Marcina Radockiego od nr 30 do nr 120 parzyste, od nr 37 do nr 121 nieparzyste.
246901;m. Katowice;Katowice;śląskie;24;2129;1711;0;Zespół Szkolno-Przedszkolny nr 22;Katowice;ul. Stanisława Łętowskiego;18;;40-648;Katowice;stały;Nie;miasto;Zespół Szkolno-Przedszkolny nr 22, ul. Stanisława Łętowskiego 18, 40-648 Katowice;ul.: Biedronek, Bławatków, Koników Polnych, Łubinowa, Motyli, Marcina Radockiego od nr 122 do nr 210.
246901;m. Katowice;Katowice;śląskie;25;1907;1539;2;Zespół Szkolno-Przedszkolny nr 22;Katowice;ul. Stanisława Łętowskiego;24;;40-648;Katowice;stały;Tak;miasto;Zespół Szkolno-Przedszkolny nr 22, ul. Stanisława Łętowskiego 24, 40-648 Katowice;ul.: Pasterska, Marcina Radockiego od nr 212 do końca, Tylna.
246901;m. Katowice;Katowice;śląskie;26;3159;2373;4;"Miejski Dom Kultury ""Południe"" Filia nr 3 w Zarzeczu";Katowice;ul. Pawła Stellera;4;;40-748;Katowice;stały;Nie;miasto;"Miejski Dom Kultury ""Południe"" Filia nr 3 w Zarzeczu, ul. Pawła Stellera 4, 40-748 Katowice";ul.: Azalii, Josepha von Eichendorffa, Tadeusza Fijewskiego, gen. Stefana Grota-Roweckiego, Macieja Jargonia, Jesiotra, Kamieńska, Kanałowa, Karasiowa, Karpiowa, Bogumiła Kobieli, Krzysztofa Kolbergera, Kopaniny Lewe, Tadeusza Kościuszki od nr 350 do końca parzyste, płk Henryka Kowalówki, Leszczy, Łososiowa, Edwarda Makuli, Miodowa, Okoniowa, Pstrągowa, Sandacza, Sielawy, Słonecznikowa od nr 76, Pawła Stellera, Konrada Swinarskiego, Szarotek, Szczupaków, Jana Świderskiego, Tunelowa od nr 72 do końca parzyste, Uklejowa, Uniczowska od nr 92, Wędkarska, Węgorzy, Renaty Zwoźniakowej.
246901;m. Katowice;Katowice;śląskie;27;2131;1589;3;Zespół Szkolno-Przedszkolny nr 11;Katowice;ul. Jana Wantuły;11;;40-750;Katowice;stały;Nie;miasto;Zespół Szkolno-Przedszkolny nr 11, ul. Jana Wantuły 11, 40-750 Katowice;ul.: Armii Krajowej od nr 152 do nr 364 parzyste, od nr 191 do nr 365 nieparzyste, Berberysów, Bukszpanowa, Dereni, Głogowa, Jaskrów, Jemiołowa, Leszczynowa, Matki Teresy z Kalkuty, Orzechowa, Pierwiosnków, Karola Stabika od nr 1 do nr 53 nieparzyste, od nr 2 do nr 64C parzyste, Stefana Suberlaka, Szarych Szeregów od nr 1 do nr 43A, Żurawinowa.
246901;m. Katowice;Katowice;śląskie;28;2385;1821;2;Zespół Szkolno-Przedszkolny nr 11;Katowice;ul. Jana Wantuły;11;;40-750;Katowice;stały;Tak;miasto;Zespół Szkolno-Przedszkolny nr 11, ul. Jana Wantuły 11, 40-750 Katowice;ul.: Ferdynanda Adamczyka, Agrestowa, Bazyliowa, Tadeusza Boya Żeleńskiego od nr 1 do nr 71, Czeremchowa, Tytusa Czyżewskiego, Dziewanny, Hiacyntów, Kalinowa, Lniana, Migdałowców, Józefa Pankiewicza, Pelargonii, Pijarska, Porzeczkowa, Przebiśniegów, Rozmarynu, Sasanek, Tadeusza Sendzimira, Sezamkowa, Smugowa, Józefa Solika, Sołtysia od nr 95 do końca, Szałwiowa, Księdza Emila Szramka, Truskawkowa, Warsztatowa, Henryka Wieniawskiego, Winorośli, Zachodnia, Zawilców, Żarnowcowa.
